time,temp,humidity
2021-12-27 20:00:00,13.0,67.0
2021-12-27 20:30:00,13.0,67.0
2021-12-27 21:00:00,12.0,72.0
2021-12-27 21:30:00,12.0,72.0
2021-12-27 22:00:00,12.0,72.0
2021-12-27 22:30:00,12.0,72.0
2021-12-27 23:00:00,12.0,72.0
2021-12-27 23:30:00,12.0,72.0
2021-12-28 00:00:00,12.0,72.0
2021-12-28 00:30:00,12.0,72.0
2021-12-28 01:00:00,12.0,72.0
2021-12-28 01:30:00,12.0,72.0
2021-12-28 02:00:00,11.0,82.0
2021-12-28 02:30:00,11.0,82.0
2021-12-28 03:00:00,11.0,82.0
2021-12-28 03:30:00,11.0,76.0
2021-12-28 04:00:00,11.0,76.0
2021-12-28 04:30:00,11.0,76.0
2021-12-28 05:00:00,11.0,76.0
2021-12-28 05:30:00,11.0,76.0
2021-12-28 06:00:00,11.0,76.0
2021-12-28 06:30:00,11.0,76.0
2021-12-28 07:00:00,11.0,76.0
2021-12-28 07:30:00,11.0,82.0
2021-12-28 08:00:00,12.0,77.0
2021-12-28 08:30:00,12.0,77.0
2021-12-28 09:00:00,13.0,72.0
2021-12-28 09:30:00,13.0,72.0
2021-12-28 10:00:00,13.0,72.0
2021-12-28 10:30:00,14.0,67.0
2021-12-28 11:00:00,14.0,67.0
2021-12-28 11:30:00,15.0,63.0
2021-12-28 12:00:00,15.0,63.0
2021-12-28 12:30:00,15.0,67.0
2021-12-28 13:00:00,16.0,63.0
2021-12-28 13:30:00,16.0,63.0
2021-12-28 14:00:00,16.0,63.0
2021-12-28 14:30:00,16.0,63.0
2021-12-28 15:00:00,17.0,63.0
2021-12-28 15:30:00,17.0,59.0
2021-12-28 16:00:00,17.0,59.0
2021-12-28 16:30:00,17.0,59.0
2021-12-28 17:00:00,16.0,68.0
2021-12-28 17:30:00,16.0,63.0
2021-12-28 18:00:00,16.0,68.0
2021-12-28 18:30:00,16.0,72.0
2021-12-28 19:00:00,16.0,72.0
2021-12-28 19:30:00,16.0,72.0
2021-12-28 20:00:00,15.0,82.0
2021-12-28 20:30:00,15.0,82.0
2021-12-28 21:00:00,15.0,82.0
2021-12-28 21:30:00,15.0,82.0
2021-12-28 22:00:00,15.0,82.0
2021-12-28 22:30:00,15.0,82.0
2021-12-28 23:00:00,15.0,82.0
2021-12-28 23:30:00,15.0,82.0
2021-12-29 00:00:00,15.0,82.0
2021-12-29 00:30:00,15.0,82.0
2021-12-29 01:00:00,15.0,82.0
2021-12-29 01:30:00,15.0,82.0
2021-12-29 02:00:00,15.0,82.0
2021-12-29 02:30:00,15.0,82.0
2021-12-29 03:00:00,15.0,77.0
2021-12-29 03:30:00,15.0,72.0
2021-12-29 04:00:00,15.0,77.0
2021-12-29 04:30:00,15.0,72.0
